file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
kaydasheva_s000009,0.0,17.8598125,corpus,-46.97351361282195,-48.09795817390817,5.8048803950966885,5.646892623213121
kaydasheva_s000757,0.0,12.0198125,corpus,-44.99855709234609,-46.302637222710004,5.7845292286746,21.445327215749273
kaydasheva_s000015,0.0,15.5698125,corpus,-44.871848908156714,-46.96824887084961,5.742755603700531,16.483320302467718
kaydasheva_s001450,0.0,14.39075,corpus,-46.778171690410005,-47.57114621294223,5.740128978561357,16.921787778560677
kaydasheva_s001517,0.0,10.0998125,corpus,-43.81816599628713,-45.74807589213054,5.740128978561357,16.342749202577888
kaydasheva_s000340,0.0,13.8198125,corpus,-48.27693673118669,-50.75540658702021,5.740128978561357,18.585169755788996
kaydasheva_s000011,0.0,4.5198125,corpus,-41.320567443307525,-50.17142234310027,5.740128978561357,14.776484324027406
kaydasheva_s001474,0.0,15.25475,corpus,-43.39132172131148,-44.3310162600349,5.712499296629425,15.953512339813482
kaydasheva_s000689,0.0,12.1328125,corpus,-42.41900247320692,-44.290439821058705,5.7122428152657285,19.60401077936018
kaydasheva_s001012,0.0,6.5398125,corpus,-41.081084551796636,-46.79246196746826,5.693841910300325,20.686269990377596
kaydasheva_s000572,0.0,18.9258125,corpus,-47.15905639197042,-48.639900462833914,5.689807789093963,6.907073594640149
kaydasheva_s001003,0.0,11.7538125,corpus,-47.985964095744684,-51.707848895679824,5.689804804939509,11.746509006718952
kaydasheva_s002169,0.0,6.61575,corpus,-41.959111239614806,-48.14398735046387,5.689803312862282,16.309843290280398
kaydasheva_s001865,0.0,9.1298125,corpus,-41.54539892524644,-45.548792652700136,5.689801820785056,20.675137407771512
kaydasheva_s000690,0.0,14.6398125,corpus,-44.846391521516395,-46.39312799241808,5.664852313292066,18.247506262229564
kaydasheva_s001619,0.0,11.8438125,corpus,-44.661182300464525,-47.02165335838241,5.664846697194701,19.2897257138114
kaydasheva_s001463,0.0,16.6098125,corpus,-46.590833835039135,-47.45180622180859,5.660175685535611,20.876397855905676
kaydasheva_s000525,0.0,14.2798125,corpus,-47.89842108718487,-51.30435994893563,5.66016614935328,22.74640056794471
kaydasheva_s001021,0.0,12.0598125,corpus,-52.3089176513267,-55.95677099366119,5.644595171886189,21.052587377204617
